Fecha,Unidades
2018-01-01,30.12955132138685
2018-01-02,306.1409118884212
2018-01-03,517.5703680014253
2018-01-04,664.5022610750806
2018-01-05,673.1631480352468
2018-01-06,105.99550850026719
2018-01-07,-44.08411438120692
2018-01-08,181.3682737187356
2018-01-09,585.2285915123482
2018-01-10,758.4073640877996
2018-01-11,812.6060449244497
2018-01-12,896.9849386768689
2018-01-13,288.16785942341846
2018-01-14,51.31553979671364
2018-01-15,540.3570824345898
2018-01-16,803.3849814923099
2018-01-17,906.7504564676083
2018-01-18,869.8705381758791
2018-01-19,918.5754372265916
2018-01-20,221.90332580170048
2018-01-21,-15.240741397406396
2018-01-22,535.9930349616671
2018-01-23,899.273315495365
2018-01-24,947.4928971968984
2018-01-25,942.0517859899949
2018-01-26,1065.7712918085629
2018-01-27,368.436899666106
2018-01-28,-39.94193512789678
2018-01-29,630.5633968555838
2018-01-30,1539.8067501140217
2018-01-31,1749.659797876704
2018-02-01,539.726756702632
2018-02-02,593.922243796527
2018-02-03,210.70416432554183
2018-02-04,28.90523860386213
2018-02-05,621.8171763080219
2018-02-06,783.2096580456966
2018-02-07,850.1490111195435
2018-02-08,869.6215837563915
2018-02-09,898.2853409160728
2018-02-10,265.312297013322
2018-02-11,19.603432915703447
2018-02-12,713.8924107438017
2018-02-13,757.5513462619779
2018-02-14,828.2567169040211
2018-02-15,789.4002661689046
2018-02-16,867.9796288022753
2018-02-17,239.99865895910585
2018-02-18,3.7508146120555463
2018-02-19,683.7161272467564
2018-02-20,664.4552051674767
2018-02-21,792.7206205808973
2018-02-22,890.5323607885391
2018-02-23,1041.9545723565054
2018-02-24,246.70099688233984
2018-02-25,17.29577889338266
2018-02-26,849.3580198555843
2018-02-27,1005.9418561964675
2018-02-28,1287.25642337638
2018-03-01,558.6258508837141
2018-03-02,598.0945911059679
2018-03-03,218.71267742846788
2018-03-04,32.47857721985734
2018-03-05,512.0726606323512
2018-03-06,811.4577967775995
2018-03-07,859.3772471098855
2018-03-08,871.46251553309
2018-03-09,898.0225137385827
2018-03-10,268.88563562931716
2018-03-11,24.143771852761265
2018-03-12,623.8806698706468
2018-03-13,786.7664853149433
2018-03-14,839.3437232278222
2018-03-15,800.0561572584379
2018-03-16,872.0672720863515
2018-03-17,241.97612952065006
2018-03-18,5.728285173599805
2018-03-19,453.6629708851334
2018-03-20,673.975470436982
2018-03-21,788.0629934321927
2018-03-22,871.8038706480334
2018-03-23,1008.7472067654325
2018-03-24,183.52564166443779
2018-03-25,-29.27366813537505
2018-03-26,544.7017596645571
2018-03-27,941.5804194910062
2018-03-28,1183.9985165521252
2018-03-29,1212.5257242692771
2018-03-30,1898.347662227739
2018-03-31,745.7594076022106
2018-04-01,-106.44018461916892
2018-04-02,306.3293531447958
2018-04-03,648.417750868792
2018-04-04,807.3704476342756
2018-04-05,744.9850241100853
2018-04-06,745.2233981243778
2018-04-07,203.04050579487247
2018-04-08,23.824483374209173
2018-04-09,466.05250677388324
2018-04-10,836.8519632579049
2018-04-11,856.5338989256502
2018-04-12,722.7175404213098
2018-04-13,673.403031691646
2018-04-14,147.1917032816503
2018-04-15,-54.87249002554047
2018-04-16,511.28681958396015
2018-04-17,740.6440524760579
2018-04-18,760.2527757996445
2018-04-19,666.3624063805712
2018-04-20,733.3988227330591
2018-04-21,206.45847900701784
2018-04-22,6.044234979201052
2018-04-23,555.2186574801434
2018-04-24,938.2591089658225
2018-04-25,1081.5006721546677
2018-04-26,1107.1666591802668
2018-04-27,1387.0323797396275
2018-04-28,609.206939859173
2018-04-29,43.50403989290037
2018-04-30,1144.5078948893845
2018-05-01,374.88878092409357
2018-05-02,583.5177025927483
2018-05-03,678.8496903913592
2018-05-04,863.9140624802762
2018-05-05,224.49198271011537
2018-05-06,17.0777596365455
2018-05-07,373.87758509664314
2018-05-08,787.7718968397714
2018-05-09,875.908562739878
2018-05-10,880.3743879056087
2018-05-11,895.4279133345046
2018-05-12,256.17881941524445
2018-05-13,4.291534920488736
2018-05-14,475.0105488722129
2018-05-15,739.190289133794
2018-05-16,807.8032391097905
2018-05-17,798.2765066450138
2018-05-18,819.6169564072393
2018-05-19,216.84983698675165
2018-05-20,-6.698137007700064
2018-05-21,388.2938618256941
2018-05-22,787.9940337880139
2018-05-23,1017.4535698477387
2018-05-24,1053.2741302296704
2018-05-25,1117.4225629088853
2018-05-26,235.27746917956281
2018-05-27,-49.14028414169379
2018-05-28,565.2392503343041
2018-05-29,1061.9228346230625
2018-05-30,1882.7459387339577
2018-05-31,2067.8543483967956
2018-06-01,567.3948340077319
2018-06-02,150.18714175919862
2018-06-03,4.871930256604882
2018-06-04,342.21022842794946
2018-06-05,731.317662768076
2018-06-06,841.794467000018
2018-06-07,811.3544945643669
2018-06-08,850.8689165387883
2018-06-09,240.75264208274686
2018-06-10,37.67672227333705
2018-06-11,479.41641088756245
2018-06-12,768.5054526515555
2018-06-13,829.5671193118235
2018-06-14,784.3108175965183
2018-06-15,815.3115424639352
2018-06-16,231.07475147847347
2018-06-17,31.562042592061353
2018-06-18,368.2148075874105
2018-06-19,704.9379197145047
2018-06-20,740.2784464140224
2018-06-21,864.9093848690509
2018-06-22,944.26217658382
2018-06-23,255.0280667552371
2018-06-24,-2.3100921945297763
2018-06-25,555.1035547277565
2018-06-26,857.7981720290547
2018-06-27,1213.5442264555672
2018-06-28,1419.9508742859568
2018-06-29,1519.7005552149178
2018-06-30,647.761600309655
