Fecha,Unidades
2012-01-01,-21.13471783499295
2012-01-02,343.3312103375037
2012-01-03,717.3041388549605
2012-01-04,848.337779734334
2012-01-05,748.4093750524062
2012-01-06,749.6327805377645
2012-01-07,226.60701187476155
2012-01-08,-27.808321911988195
2012-01-09,334.53024514535343
2012-01-10,767.1499900417052
2012-01-11,960.8810316619288
2012-01-12,1020.1962232450502
2012-01-13,1085.1091623929776
2012-01-14,386.973741070713
2012-01-15,72.99480276316122
2012-01-16,738.1337999099076
2012-01-17,1029.7926926956902
2012-01-18,1043.8993627572952
2012-01-19,1069.3884880697751
2012-01-20,984.2626310213195
2012-01-21,334.89957862263856
2012-01-22,19.433998615600746
2012-01-23,665.5315862878409
2012-01-24,870.1765153843744
2012-01-25,942.0841774692673
2012-01-26,1006.9317774705889
2012-01-27,1102.923012177069
2012-01-28,490.0021039562587
2012-01-29,-53.35885832884238
2012-01-30,839.9222537827128
2012-01-31,1184.575121242665
2012-02-01,1045.0233815437114
2012-02-02,1120.0111521935453
2012-02-03,1190.1259201653895
2012-02-04,343.3830311280586
2012-02-05,-15.236841399411649
2012-02-06,739.7608369501351
2012-02-07,1064.9154185904108
2012-02-08,1231.6660015361526
2012-02-09,1287.7786740785516
2012-02-10,1273.1089559087993
2012-02-11,345.5567460952523
2012-02-12,32.95472462214826
2012-02-13,882.2201318244845
2012-02-14,1084.6877373057098
2012-02-15,1308.3022428741892
2012-02-16,1260.4467803448779
2012-02-17,1209.4708343372356
2012-02-18,276.977275509052
2012-02-19,4.280162535187681
2012-02-20,786.9250308929873
2012-02-21,985.7587037712241
2012-02-22,1254.0266142781732
2012-02-23,1296.7960143934108
2012-02-24,1265.877056798206
2012-02-25,302.0902074171108
2012-02-26,25.826763562510568
2012-02-27,1012.07401693504
2012-02-28,992.7671853756513
2012-02-29,1168.0007567836976
2012-03-01,1070.204606370073
2012-03-02,1191.430686170645
2012-03-03,402.7872240938198
2012-03-04,73.7349161140371
2012-03-05,753.1302589233713
2012-03-06,1140.2503570285476
2012-03-07,1149.150276929822
2012-03-08,1297.839263342476
2012-03-09,1316.9146154920397
2012-03-10,334.48512565140226
2012-03-11,69.6209123616532
2012-03-12,920.8236510051439
2012-03-13,1230.339681331468
2012-03-14,1411.817652460252
2012-03-15,1363.805804219915
2012-03-16,1385.4454965865007
2012-03-17,374.13880738219274
2012-03-18,23.574881805035865
2012-03-19,784.6064168272972
2012-03-20,1089.4505091439094
2012-03-21,1296.05609252907
2012-03-22,1326.29587760123
2012-03-23,1327.5633249576767
2012-03-24,274.385950642016
2012-03-25,-62.66766329006727
2012-03-26,665.6377200930461
2012-03-27,1000.4651228195787
2012-03-28,1050.8340912138792
2012-03-29,1056.6845905228554
2012-03-30,1405.433005797161
2012-03-31,607.9573487975941
2012-04-01,-19.984866289157708
2012-04-02,697.0168885886715
2012-04-03,1061.3954383574617
2012-04-04,1054.1571460746477
2012-04-05,874.2557692028873
2012-04-06,825.4874950850202
2012-04-07,245.6809403647924
2012-04-08,-18.497003616075837
2012-04-09,772.2800991674955
2012-04-10,1127.9964487824057
2012-04-11,1345.2069251106082
2012-04-12,1280.1719806185765
2012-04-13,1165.042775298779
2012-04-14,331.52219491497056
2012-04-15,23.362333759461517
2012-04-16,857.7908671181258
2012-04-17,1139.0621239981879
2012-04-18,1138.6239438712064
2012-04-19,1115.1646003450646
2012-04-20,1007.5083328540046
2012-04-21,333.6114630532294
2012-04-22,31.363755999498053
2012-04-23,722.8975622343767
2012-04-24,1043.7414961832978
2012-04-25,1260.1594897236346
2012-04-26,1314.2934328294243
2012-04-27,1426.4918229884286
2012-04-28,594.424120920687
2012-04-29,55.04697268857411
2012-04-30,1042.0860653525983
2012-05-01,757.8546907767458
2012-05-02,1025.7903391394464
2012-05-03,1148.3745637678041
2012-05-04,1148.1085812355166
2012-05-05,316.7183641911813
2012-05-06,42.41019503848517
2012-05-07,743.0297004740255
2012-05-08,1230.809046191786
2012-05-09,1439.1569195803204
2012-05-10,1472.8889539762122
2012-05-11,1392.271489609634
2012-05-12,396.50046933885176
2012-05-13,38.60715069528668
2012-05-14,821.3348439322635
2012-05-15,1126.8636950518778
2012-05-16,1344.3844579881354
2012-05-17,1296.1427058939728
2012-05-18,1191.1225370823086
2012-05-19,379.8949389468596
2012-05-20,-0.4529983608254984
2012-05-21,685.3924276024195
2012-05-22,1028.7586191453731
2012-05-23,1209.7398389351606
2012-05-24,1256.7202067799149
2012-05-25,1251.664526740339
2012-05-26,396.66480934077634
2012-05-27,39.39229038997908
2012-05-28,765.0512733433756
2012-05-29,1120.817887811313
2012-05-30,1505.2764079024507
2012-05-31,1449.2203186672175
2012-06-01,1199.3434484601407
2012-06-02,335.2159093262414
2012-06-03,43.96482215149561
2012-06-04,684.3160899493867
2012-06-05,1074.987617392895
2012-06-06,1265.8685859929526
2012-06-07,1287.7133396420836
2012-06-08,1376.5755722991364
2012-06-09,429.84811763562453
2012-06-10,42.05190523893836
2012-06-11,752.5971242788089
2012-06-12,1090.109351347827
2012-06-13,1361.3050543984145
2012-06-14,1409.9287709854327
2012-06-15,1331.3819200347336
2012-06-16,370.40701896724374
2012-06-17,38.84834166067728
2012-06-18,627.3567925986932
2012-06-19,1040.3667096728002
2012-06-20,1043.8049596666865
2012-06-21,1263.617239655949
2012-06-22,1191.6700856021794
2012-06-23,352.3667826243382
2012-06-24,-7.386522273275968
2012-06-25,609.9583663138544
2012-06-26,946.3576714237855
2012-06-27,1389.1834499212664
2012-06-28,1337.1676914011648
2012-06-29,1423.6448202422976
